@relation f1_2021_data_v2

@attribute round {'1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21','22'}
@attribute circuit_id {'bahrain','imola','portimao','catalunya','monaco','baku','ricard', 'red_bull_ring','silverstone','hungaroring','spa','zandvoort','monza'}
@attribute weather_warm {'TRUE','FALSE'}
@attribute weather_cold {'TRUE','FALSE'}
@attribute weather_dry {'TRUE','FALSE'}
@attribute weather_wet {'TRUE','FALSE'}
@attribute weather_cloudy {'TRUE','FALSE'}
@attribute driver {'hamilton', 'verstappen','ricciardo','bottas','perez','norris','leclerc','sainz','gasly','tsunoda','mazepin','mick_schumacher','vettel','giovinazzi','latifi','russell','ocon','raikkonen','stroll','alonso','kubica'}
@attribute nationality {'british','dutch','finnish','monegasque','french','australian','mexican','spanish','canadian','italian','japanese','german','russian','polish'}
@attribute constructor {'red_bull','mercedes','ferrari','mclaren','alpine','aston_martin','alfa_romeo','alphatauri','williams','haas'}
@attribute grid {'1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20'}
@attribute driver_points numeric
@attribute driver_wins {'0','1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21','22'}
@attribute driver_standings_pos {'0','1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21'}
@attribute constructor_points numeric
@attribute constructor_wins {'0','1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21','22'}
@attribute constructor_standings_pos {'0','1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20'}
@attribute qualifying_time numeric
@attribute driver_age numeric
@attribute points_finish {'podium','points','no_points'}

@data
1,bahrain,FALSE,FALSE,FALSE,FALSE,FALSE,verstappen,dutch,red_bull,1,0,0,0,0,0,0,0.0,23,podium
1,bahrain,FALSE,FALSE,FALSE,FALSE,FALSE,hamilton,british,mercedes,2,0,0,0,0,0,0,0.400000000000006,36,podium
1,bahrain,FALSE,FALSE,FALSE,FALSE,FALSE,bottas,finnish,mercedes,3,0,0,0,0,0,0,0.599999999999994,31,podium
1,bahrain,FALSE,FALSE,FALSE,FALSE,FALSE,leclerc,monegasque,ferrari,4,0,0,0,0,0,0,0.700000000000003,23,points
1,bahrain,FALSE,FALSE,FALSE,FALSE,FALSE,gasly,french,alphatauri,5,0,0,0,0,0,0,0.799999999999997,25,no_points
1,bahrain,FALSE,FALSE,FALSE,FALSE,FALSE,ricciardo,australian,mclaren,6,0,0,0,0,0,0,0.900000000000006,31,points
1,bahrain,FALSE,FALSE,FALSE,FALSE,FALSE,norris,british,mclaren,7,0,0,0,0,0,0,1.0,21,points
1,bahrain,FALSE,FALSE,FALSE,FALSE,FALSE,sainz,spanish,ferrari,8,0,0,0,0,0,0,1.2,26,points
1,bahrain,FALSE,FALSE,FALSE,FALSE,FALSE,alonso,spanish,alpine,9,0,0,0,0,0,0,1.2,39,no_points
1,bahrain,FALSE,FALSE,FALSE,FALSE,FALSE,stroll,canadian,aston_martin,10,0,0,0,0,0,0,1.59999999999999,22,points
1,bahrain,FALSE,FALSE,FALSE,FALSE,FALSE,perez,mexican,red_bull,11,0,0,0,0,0,0,1.6,31,points
1,bahrain,FALSE,FALSE,FALSE,FALSE,FALSE,giovinazzi,italian,alfa_romeo,12,0,0,0,0,0,0,1.7,27,no_points
